Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
v-neck-vest,V-Neck Vest,"<p data-mce-fragment=""1"">The classic striped V-Neck vest NZ made for your baby. Easy to slip on and loose fitting allowing plenty of room to add extra layers underneath if needed.</p>
<p data-mce-fragment=""1"">These merino baby vests are sized from 3 months through to 3 years and are a great wardrobe addition. Dress it up or down for the season.</p>
<p data-mce-fragment=""1"">Weebits designer baby clothes NZ online store.<br data-mce-fragment=""1"">All our merino vests are coloured using<span data-mce-fragment=""1""> </span><a data-mce-fragment=""1"" title=""read about ecofriendly dyes"" href=""https://weebits.myshopify.com/pages/natural-fabrics#ecodyes"" data-mce-href=""https://weebits.myshopify.com/pages/natural-fabrics#ecodyes"">ecofriendly dyes</a>.<br data-mce-fragment=""1"">Knitted locally in New Zealand using pure 8ply<span data-mce-fragment=""1""> </span><a data-mce-fragment=""1"" title=""read more about merino wool"" href=""https://weebits.myshopify.com/pages/natural-fabrics#merino"" data-mce-href=""https://weebits.myshopify.com/pages/natural-fabrics#merino"">merino wool</a><span data-mce-fragment=""1""> </span>sourced from Woolyarns NZ and prized worldwide for its superior qualities.</p>",Weebits,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Outerwear,Outerwear,"AGE_ 3-6 months, AGE_ 6-12 months, AGE_1-2 years, AGE_2-4 years, Baby Vest, Baby Vests, COLOUR_Oatmeal Marle",true,Size,3-6 months,Colour,Oatmeal Natural Stripe,,,"",0.0,shopify,1,deny,manual,79.90,,true,true,"",https://cdn.shopify.com/s/files/1/2115/6269/products/oatmeal-v-neck-vest.jpg?v=1667953784,1,Oatmeal V-neck vest,false,V-Neck Vest | Baby Clothes NZ | Weebits,The classic striped V-Neck vest NZ made in merino for your baby. Easy to slip on and loose fitting allowing plenty of room to add extra layers underneath.,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2115/6269/products/oatmeal-v-neck-vest.jpg?v=1667953784,kg,,,,,active
v-neck-vest,,,,,,,,,6-12 months,,Oatmeal Natural Stripe,,,"",0.0,shopify,1,deny,manual,79.90,,true,true,"",https://cdn.shopify.com/s/files/1/2115/6269/products/v-neck-vest-and-chunky-pants.jpg?v=1667953784,2,v-neck vest and chunky pants,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2115/6269/products/oatmeal-v-neck-vest.jpg?v=1667953784,kg,,,,,
v-neck-vest,,,,,,,,,1-2 years,,Oatmeal Natural Stripe,,,"",0.0,shopify,1,deny,manual,84.00,,true,true,"",https://cdn.shopify.com/s/files/1/2115/6269/products/oatmeal-v-neck-baby-vests.jpg?v=1667953784,3,Oatmeal V-neck baby vests,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2115/6269/products/oatmeal-v-neck-vest.jpg?v=1667953784,kg,,,,,
v-neck-vest,,,,,,,,,2-3 years,,Oatmeal Natural Stripe,,,"",0.0,shopify,1,deny,manual,90.00,,true,true,"",https://cdn.shopify.com/s/files/1/2115/6269/products/arm-detail-of-v-neck-vests.jpg?v=1667953784,4,Arm detail of V-neck vests,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2115/6269/products/oatmeal-v-neck-vest.jpg?v=1667953784,kg,,,,,
v-neck-vest,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2115/6269/products/stack-of-v-neck-baby-vests.jpg?v=1667953784,5,Stack of v-neck baby vests,,,,,,,,,,,,,,,,,,,,,,,
multicolour-beanies,Multicolour Beanies,"<p>Adding a touch of colour for spring.<br></p>
<p>Multicolour beanies which are a modern twist on the well known Fair Isle style of knitting.<br>Made with pre-coloured yarn which results in a random pattern and means that each beanie will have a unique design.<br> <br>This baby beanie fits snug on a baby’s head covering the ears with a roll up brim.<br>A nice addition to your new baby's wardrobe.</p>
<p><a href=""/products/striped-baby-beanies"" title=""Striped baby beanies"">Striped Baby Beanies</a> and <a href=""/products/baby-beanies"" title=""Baby beanies"">Plain Baby Beanies</a> are also available.</p>
<!--Check out the Gift Set (at a special price) that includes these beanies:
<div class=""textpad30""><a title=""Baby Cardigan and Baby Beanie Gift Set"" href=""/products/cardigan-beanie"">Baby Cardigan and Beanie</a></div>
<br>-->
<p>See all our <a title=""baby hats"" href=""/collections/baby-hats"">Baby Hats</a></p>
<p>Knitted locally in NZ using pure 8ply wool</p>",Weebits,Apparel & Accessories > Clothing Accessories > Baby & Toddler Clothing Accessories > Baby & Toddler Hats,Headwear,"AGE_ 0-3 months, AGE_ 3-6 months, AGE_ 6-12 months, AGE_1-2 years, AGE_2-4 years, baby beanies nz, baby hat, beanies for babies nz, COLOUR_Brown, COLOUR_Chocolate, COLOUR_Ivory, COLOUR_Mid Brown, COLOUR_Mint, COLOUR_Multicolour, COLOUR_Mushroom, COLOUR_Mustard, COLOUR_Natural, COLOUR_Oatmeal, COLOUR_Powder Blue, COLOUR_Soft Pink, Fair Isle, Fairisle, headwear, Multicolour",true,Size,0-3 mths,Colour,Noah,,,H100-0003-17,0.0,shopify,2,deny,manual,39.95,,true,true,,https://cdn.shopify.com/s/files/1/2115/6269/products/colour-range-of-multi-colour-beanies-on-a-swing.jpg?v=1668750198,1,Colour range of multi colour beanies on a swing,false,Multicolour Beanies | Baby Hats | Weebits,"Multicolour beanies which are a modern twist on the Fair Isle style of knitting.
Pre-coloured yarn results in a random pattern. Each beanie has a unique design.",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2115/6269/products/noah-multicolour-beanie.jpg?v=1668750198,kg,,,,,active
multicolour-beanies,,,,,,,,,0-3 mths,,Mia,,,H100-0003-18,0.0,shopify,2,deny,manual,39.95,,true,true,,https://cdn.shopify.com/s/files/1/2115/6269/products/noah-multicolour-beanie.jpg?v=1668750198,2,Noah multicolour beanie,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2115/6269/products/mia-multicolour-beanie.jpg?v=1668750198,kg,,,,,
multicolour-beanies,,,,,,,,,0-3 mths,,Frankie,,,H100-0003-19,0.0,shopify,2,deny,manual,39.95,,true,true,"",https://cdn.shopify.com/s/files/1/2115/6269/products/mia-multicolour-beanie.jpg?v=1668750198,3,Mia multicolour beanie,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2115/6269/products/frankie-multicolour-beanie.jpg?v=1668750198,kg,,,,,
multicolour-beanies,,,,,,,,,0-3 mths,,Storm,,,H100-0003-20,0.0,shopify,2,deny,manual,39.95,,true,true,"",https://cdn.shopify.com/s/files/1/2115/6269/products/frankie-multicolour-beanie.jpg?v=1668750198,4,Frankie multicolour beanie,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2115/6269/products/storm-multicolour-beanie.jpg?v=1668750198,kg,,,,,
multicolour-beanies,,,,,,,,,3-6 mths,,Noah,,,H100-0306-17,0.0,shopify,2,deny,manual,39.95,,true,true,,https://cdn.shopify.com/s/files/1/2115/6269/products/storm-multicolour-beanie.jpg?v=1668750198,5,Storm multicolour beanie,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2115/6269/products/noah-multicolour-beanie.jpg?v=1668750198,kg,,,,,
